x, y, Name
-3.226564,50.645238,Lyme Bay,
-2.14623969312129,50.607178,Kimmeridge - Broadbench,
-2.13354097283589,50.610442,Kimmeridge Bay,
-2.13215226853137,50.607436,Kimmeridge - The Ledges,
-2.0652437962957,50.592301,Chapman's Pool,
-1.95396542462716,50.617474,Swanage,
-1.8730554572973,50.714872,Bournemouth,
-1.841498,50.71864,Boscombe,
-1.80121095519298,50.719282,Southbourne,
-1.77106998558652,50.71621,Highcliffe,
-2.51640997569548,49.507945,Fort Le Marchant - Guernsey,
-2.52976005884381,49.503854,L'Ancresse Bay - Guernsey,
-2.580111,49.490276,Portinfer - Guernsey,
-2.608573,49.469643,Vazon Bay - Beach - Guernsey,
-2.62169,49.469275,Vazon Bay - Reef - Guernsey,
-2.614684,49.468376,Vazon Bay - Centres - Guernsey,
-2.65079561391501,49.46271,Perelle Bay - Right - Guernsey,
-2.65012112538064,49.463578,Perelle Bay - Left - Guernsey,
-2.650411,49.468089,Perelle Bay - Dom Hue - Guernsey,
-2.20161451365369,49.247543,Greve de Lecq - Jersey,
-2.228806,49.257029,Plemont Bay - Jersey,
-2.25073274823279,49.240745,Stinky Bay - Jersey,
-2.23807036674769,49.230715,Secrets - Jersey,
-2.22453765409131,49.204447,Watersplash - Jersey,
-2.227087,49.197943,Les Brayes - Jersey,
-2.23545336194461,49.197891,La Rocco - Jersey,
-2.23905289389435,49.18475,Petite Port - Jersey,
-2.19584448922899,49.18423,St Brelades - Jersey,
0.035068,53.731608,Withernsea,
-0.282458672481937,54.207369,Filey,
-0.355913676826645,54.245086,Cayton Bay - Bunkers,
-0.363396454013397,54.247006,Cayton Bay - Pumphouse,
-0.364842851213325,54.252144,Cayton Bay - Point,
-0.394886688036223,54.279147,Scarborough - South Bay,
-0.398289886830014,54.28973,Scarborough - North Bay,
-0.53017296592293,54.430051,Robin Hood's Bay,
-0.616398811301465,54.491733,Whitby,
-0.669306550300405,54.503488,Sandsend Bay - Beach,
-0.672516,54.507872,Sandsend Bay - Caves,
-0.73943949734003,54.530114,Runswick Bay,
